company_name,company_sector,peer_rank,peer_name,peer_sector,similarity_score
BAJFINANCE,Unknown,5,UNIONBANK,Unknown,0.9765
WIPRO,Unknown,1,KOTAKBANK,Unknown,0.9756
WIPRO,Unknown,2,AXISBANK,Unknown,0.9724
WIPRO,Unknown,3,PNB,Unknown,0.9719
WIPRO,Unknown,4,GODREJCP,Unknown,0.9697
WIPRO,Unknown,5,BANKBARODA,Unknown,0.9672
NESTLEIND,Unknown,1,TCS,Unknown,0.9874
NESTLEIND,Unknown,2,BRITANNIA,Unknown,0.9734
NESTLEIND,Unknown,3,COLPAL,Unknown,0.9488
NESTLEIND,Unknown,4,MARICO,Unknown,0.9291
NESTLEIND,Unknown,5,PIDILITIND,Unknown,0.8903
POWERGRID,Unknown,1,SUNTV,Unknown,0.9992
POWERGRID,Unknown,2,DIVISLAB,Unknown,0.9856
POWERGRID,Unknown,3,SUNPHARMA,Unknown,0.9779
POWERGRID,Unknown,4,SJVN,Unknown,0.9686
POWERGRID,Unknown,5,NHPC,Unknown,0.9464
NTPC,Unknown,1,NHPC,Unknown,0.9395
NTPC,Unknown,2,TORNTPOWER,Unknown,0.9233
NTPC,Unknown,3,SJVN,Unknown,0.9181
NTPC,Unknown,4,SUNPHARMA,Unknown,0.8784
NTPC,Unknown,5,DIVISLAB,Unknown,0.8748
TECHM,Unknown,1,BATAINDIA,Unknown,0.9902
TECHM,Unknown,2,SBIN,Unknown,0.9844
TECHM,Unknown,3,BOSCHLTD,Unknown,0.9747
TECHM,Unknown,4,ASIANPAINT,Unknown,0.9698
TECHM,Unknown,5,DABUR,Unknown,0.9681
HCLTECH,Unknown,1,COALINDIA,Unknown,0.9958
HCLTECH,Unknown,2,HINDUNILVR,Unknown,0.9656
HCLTECH,Unknown,3,INFY,Unknown,0.9526
HCLTECH,Unknown,4,ASIANPAINT,Unknown,0.9462
HCLTECH,Unknown,5,ITC,Unknown,0.9448
ONGC,Unknown,1,TATAPOWER,Unknown,0.9759
ONGC,Unknown,2,TORNTPOWER,Unknown,0.8936
ONGC,Unknown,3,BOSCHLTD,Unknown,0.7968
ONGC,Unknown,4,DABUR,Unknown,0.7639
ONGC,Unknown,5,LT,Unknown,0.7401
ADANIENT,Unknown,1,NYKAA,Unknown,0.9864
ADANIENT,Unknown,2,PVRINOX,Unknown,0.9843
ADANIENT,Unknown,3,ESCORTS,Unknown,0.9782
ADANIENT,Unknown,4,RELIANCE,Unknown,0.9536
ADANIENT,Unknown,5,DMART,Unknown,0.9145
ADANIPORTS,Unknown,1,POWERGRID,Unknown,0.9418
ADANIPORTS,Unknown,2,SUNTV,Unknown,0.9353
ADANIPORTS,Unknown,3,SUNPHARMA,Unknown,0.9266
ADANIPORTS,Unknown,4,DIVISLAB,Unknown,0.9222
ADANIPORTS,Unknown,5,SJVN,Unknown,0.8576
COALINDIA,Unknown,1,HCLTECH,Unknown,0.9958
COALINDIA,Unknown,2,HINDUNILVR,Unknown,0.9774
COALINDIA,Unknown,3,ASIANPAINT,Unknown,0.9669
COALINDIA,Unknown,4,INFY,Unknown,0.9388
COALINDIA,Unknown,5,PIDILITIND,Unknown,0.9374
BAJAJFINSV,Unknown,1,ADANIPOWER,Unknown,0.913
BAJAJFINSV,Unknown,2,ADANIPORTS,Unknown,0.8509
BAJAJFINSV,Unknown,3,BALKRISIND,Unknown,0.8056
BAJAJFINSV,Unknown,4,WIPRO,Unknown,0.7944
BAJAJFINSV,Unknown,5,GODREJCP,Unknown,0.7542
GRASIM,Unknown,1,INDUSINDBK,Unknown,0.9985
GRASIM,Unknown,2,ULTRACEMCO,Unknown,0.9924
GRASIM,Unknown,3,IDFCFIRSTB,Unknown,0.9906
GRASIM,Unknown,4,SBILIFE,Unknown,0.9809
GRASIM,Unknown,5,ICICIGI,Unknown,0.9809
JSWSTEEL,Unknown,1,FEDERALBNK,Unknown,0.9977
JSWSTEEL,Unknown,2,HDFCBANK,Unknown,0.9972
JSWSTEEL,Unknown,3,IDFCFIRSTB,Unknown,0.9958
JSWSTEEL,Unknown,4,ULTRACEMCO,Unknown,0.9854
JSWSTEEL,Unknown,5,GRASIM,Unknown,0.9753
TATASTEEL,Unknown,1,MRF,Unknown,0.9929
TATASTEEL,Unknown,2,HINDALCO,Unknown,0.9887
TATASTEEL,Unknown,3,ICICIBANK,Unknown,0.9694
TATASTEEL,Unknown,4,DMART,Unknown,0.9688
TATASTEEL,Unknown,5,UNIONBANK,Unknown,0.9624
HINDALCO,Unknown,1,DMART,Unknown,0.9936
HINDALCO,Unknown,2,TATASTEEL,Unknown,0.9887
HINDALCO,Unknown,3,MRF,Unknown,0.9638
HINDALCO,Unknown,4,NYKAA,Unknown,0.9385
HINDALCO,Unknown,5,RADICO,Unknown,0.9263
DIVISLAB,Unknown,1,SUNPHARMA,Unknown,0.9985
DIVISLAB,Unknown,2,SUNTV,Unknown,0.9912
DIVISLAB,Unknown,3,SJVN,Unknown,0.9892
DIVISLAB,Unknown,4,POWERGRID,Unknown,0.9856
DIVISLAB,Unknown,5,NHPC,Unknown,0.9733
DRREDDY,Unknown,1,CIPLA,Unknown,0.9946
DRREDDY,Unknown,2,ULTRACEMCO,Unknown,0.9867
DRREDDY,Unknown,3,GRASIM,Unknown,0.9754
DRREDDY,Unknown,4,INDUSINDBK,Unknown,0.9628
DRREDDY,Unknown,5,IDFCFIRSTB,Unknown,0.9574
CIPLA,Unknown,1,ULTRACEMCO,Unknown,0.9956
CIPLA,Unknown,2,DRREDDY,Unknown,0.9946
CIPLA,Unknown,3,GRASIM,Unknown,0.9796
CIPLA,Unknown,4,IDFCFIRSTB,Unknown,0.9756
CIPLA,Unknown,5,JSWSTEEL,Unknown,0.9717
EICHERMOT,Unknown,1,IRCTC,Unknown,0.8286
EICHERMOT,Unknown,2,ADANIPORTS,Unknown,0.6831
